"","city","state","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34","col35","col36","col37","col38","col39","col40","col41","col42","col43","col44","col45","col46","col47","col48","col49","col50","col51","col52","col53","col54","col55","col56","col57","col58","col59","col60","col61","col62","col63","col64","col65","col66","col67","col68","col69","col70","col71","col72","col73","col74","col75","col76","col77","col78","col79","col80","col81","col82","col83","col84","col85","col86","col87","col88","col89","col90","col91","col92","col93","col94","col95","col96","col97","col98","col99","col100","col101","col102","col103","col104","col105","col106","col107","col108","col109","col110","col111","col112","col113","col114","col115","col116","col117","col118","col119","col120","col121","col122","col123","col124","col125","col126","col127","col128","col129","col130","col131","col132","col133","col134","col135","col136","col137","col138","col139","col140","col141","col142","col143","col144","col145"
"1219","Eugenecity","OR",NA,NA,6,112669,2.43,1.25,93.43,3.46,2.71,17.3,31.76,19.04,11.15,112669,100,25369,76.99,0.84,50.06,23.82,5.56,13.87,34153,13886,14213,7933,10229,10272,7037,7901,18176,17.04,3.96,11.44,34.88,6.42,59.99,12.89,32.67,11.21,33.33,10.86,38.08,14.79,12.92,2.9,70.42,69.15,82.8,71.2,61.71,71.18,1342,1.89,5747,32.12,42.14,47.05,51.57,1.64,2.15,2.4,2.63,92.49,0.8,3.18,1.95,2.3,2.55,2.05,56.17,2.61,52.1,2,1717,96.42,50.75,0.99,14.39,1966,3.07,0.28,56100,73200,99300,43200,282,375,477,195,425,30.6,20.4,13.1,459,84,5.1,39.02,37.12,67.78,79.61,2858.7,3.53,11.11,106200.5,3,2.5,64,53.23,166,138.07,237,197.13,1381,1148.67,6471,5382.36,375,311.91,57,47.41,390.93,6890.36,135,112.29,131,108.96,130803,108797.6,968.9,112.3,95.42,95.56,2.96,0,0.74,3.7,15,14,93,39.4,72,12768062,97.04,10
"1220","Providencecity","RI",7,59000,6,160728,2.73,14.83,69.93,5.94,15.54,18.71,34.52,20.6,11.91,160728,100,22147,70.69,0.64,33.3,27.42,16.33,13.6,28342,11838,13884,7728,7743,5782,6551,6750,34120,22.96,16.42,37.24,21.63,9.18,54.98,24.14,29.13,18.27,25.5,8.88,47.78,13.54,11.37,3.23,54.32,50.04,59.15,55.78,52.4,60.15,10047,9.23,31532,22.29,35.58,47.3,58.19,4.37,6.98,9.28,11.42,69.54,8.58,8.14,5.05,2.52,2.71,2.42,38.84,6.01,61.38,2,7889,88.19,36.15,7.61,34.39,1939,7.57,0.96,87300,113000,150000,62700,266,389,492,226,469,30.2,22.1,14.3,240,43,19.62,50.63,45.16,72.67,75.39,8403.8,7.61,7.5,110143.2,22,14.69,114,76.1,636,424.55,601,401.19,4240,2830.35,6433,4294.25,3116,2080.04,384,256.33,916.52,9460.97,440,293.72,370,246.99,4e+05,267013.81,909.1,293.7,74.93,95,5,0,0,5,33,2,155.5,19.1,190,16500000,84.09,10
"1221","NorthLittleRockcity","AR",NA,NA,6,61741,2.47,23.62,75.32,0.41,0.84,13.36,25.2,11.67,13.95,61741,100,23958,72.28,0.45,34.47,29.66,7.4,15.97,30185,12390,14491,5771,9106,11574,8133,8372,10386,17.2,10.03,26.96,17.49,5.39,58.79,11.5,23.24,13.27,25.46,13.03,25.54,16.32,14.81,3,63.45,57.72,72.07,64.87,65.29,72.04,2704,5.46,695,8.92,9.78,16.26,20.86,0.1,0.11,0.18,0.23,97.12,0.47,4.52,3.06,2.42,2.52,2.28,61.24,3.08,47.34,3,2268,91.68,58.88,4.85,33.51,1965,6.72,0.27,39600,56100,79900,40300,178,272,353,175,370,26.9,18.5,12.9,35,7,1.13,74.23,52.85,83.89,90.33,1500,1.58,9.68,93386.8,13,20.64,71,112.73,324,514.42,235,373.12,1456,2311.73,4732,7513.14,873,1386.09,25,39.69,1020.91,11250.65,124,196.88,101,160.36,86937,138032.5,701.1,196.9,82.18,92.74,6.45,0,0.81,7.26,12,10,56.7,41.2,68,5881782,81.45,0
"1237","PaloAltocity","CA",NA,NA,6,55900,2.31,2.88,84.9,10.44,4.99,10.27,23.58,10.36,13.73,55544,99.36,55333,79.02,0.67,70.39,23.65,3.26,16.09,68790,32489,34296,23305,19393,22879,14992,19337,2561,4.65,1.9,5.27,65.16,2.4,68.21,25.49,38.14,2.82,59.07,9.34,37.46,14.99,12.24,2.84,78.37,77.02,95.63,75.82,61.34,69.06,301,0.88,10097,22.7,31.07,41.37,46.42,4.1,5.61,7.47,8.38,82.47,2.06,2.65,1.66,2.24,2.47,1.95,62.42,2.5,48.74,3,982,96.1,56.74,2.04,18.74,1955,0.67,0.2,359400,457800,500001,140601,619,825,1001,382,851,25.9,21.6,10.9,13,11,18.06,36.22,51.22,69.24,83.07,2278.3,2.64,0,203125.3,0,0,11,19.23,61,106.62,66,115.36,487,851.23,2596,4537.59,188,328.61,15,26.22,241.21,5743.65,93,162.56,87,152.07,28836,50402.9,310.1,162.6,92.83,80.65,6.45,8.6,4.3,19.35,0,10,192,24.5,55,11621000,93.55,0
"1239","Stratfordtown","CT",1,74190,6,49389,2.56,7.89,90.07,0.81,3.59,11.17,22.59,10.65,18.16,49389,100,41745,74.97,0.52,55.79,38.37,3.51,25.4,49630,18574,19050,13405,12977,21252,13278,13050,1737,3.54,9.02,22.22,21.25,4.97,62.31,24.9,22.32,11.57,29.18,7.25,29.25,9.82,8.62,3.04,78.38,75.43,90.81,82.25,63.64,73,795,2.18,3041,4.34,8.65,12.4,14.57,0.27,0.53,0.76,0.9,88.87,0.87,4.22,3.06,2.54,2.61,2.27,81.88,1.53,40.64,3,842,95.82,79.75,5.82,48.81,1954,1.1,0.27,150400,176500,210700,60300,382,558,721,339,676,26.6,22.4,15,3,3,6.16,68.75,69.46,92.04,95.25,2711.4,1.99,5,99291.6,1,1.99,2,3.99,77,153.58,20,39.89,449,895.55,1330,2652.73,396,789.84,18,35.9,199.45,4374.02,100,199.45,97,193.47,34371,68554.2,343.7,199.5,82.5,76.67,2.5,3.33,0,4.17,5,8,148,18.2,33,4978183,97,0
"1258","Troycity","MI",125,80700,6,72884,2.79,1.35,91.52,6.78,1.27,13.95,24.43,11.69,7.69,72884,100,55407,86.77,0.5,63.29,18.72,1.88,13.48,63187,23249,23382,23621,14978,21518,25817,16200,2061,2.83,3.54,11.07,39.89,3.19,70.67,23.82,25.72,6.52,44.09,5.9,28.17,8.28,7.13,3.29,89.95,89.58,96.01,90.38,52.6,63.92,179,0.37,8465,14.09,19.21,26.62,32.2,1.64,2.23,3.09,3.74,85.78,1.56,4.54,3.42,2.78,3.1,1.87,83.04,1.31,30.01,3,1030,96.21,74.7,1.07,18.25,1972,0.34,0.18,99900,128900,167600,67700,496,584,661,165,620,22.7,19.6,12.3,0,0,11.61,65.61,55.47,78.04,89.91,2098,0.16,3.82,147788.59,1,1.26,NA,NA,28,35.23,185,232.8,477,600.23,2572,3236.48,335,421.55,17,21.39,NA,4279.66,131,164.84,113,142.19,41572,52312.2,317.3,164.8,92.28,99.24,0.76,0,0,0.76,5,3,86.8,34.7,71,11744609,86.26,0
"1265","Somervillecity","MA",17,62535,6,76210,2.51,5.6,88.73,3.71,6.28,12.34,36.91,18.58,11.08,76210,100,32455,80.36,0.55,46.82,24.83,7.45,14.54,38532,15179,15596,12581,5554,12178,9921,10332,8492,11.47,11.08,24.82,30.88,6.33,66.46,12.66,36.6,10.19,32.59,6.53,51.42,9.4,8.04,3.1,68.84,66.35,81.97,71.38,61.64,68.15,1912,4.28,16975,20.67,31.67,41.3,50.54,4.6,7.05,9.2,11.26,73.74,6.54,6.34,3.65,2.44,2.76,2.3,35.09,3.87,65.23,2,1467,95.38,31,3.07,37.22,1939,1.94,0.18,135500,165800,198300,62800,416,591,743,327,677,27.2,21.6,15.4,54,1,22.27,54.68,49.22,70.48,78.68,17893,27.93,4.44,97362,0,0,10,14.43,123,177.45,40,57.71,604,871.37,948,1367.65,761,1097.87,8,11.54,249.58,3348.43,135,194.76,127,183.22,47000,67805.4,348.1,194.8,92.43,96.3,2.96,0.74,0,3.7,6,5,74.1,4.3,24,6748743,94.07,0
"1268","Columbuscity","GA",215,NA,6,179278,2.72,38.02,58.99,1.4,2.95,15.74,30.25,15.46,9.92,173513,96.78,24056,77.57,0.49,27.68,24.52,9.88,19.33,28565,11949,14940,7443,10947,13012,7101,8873,31941,18.63,11.26,28.48,16.61,7.16,60.99,17.3,24.07,16.03,24.97,11.42,31.28,16.97,14.31,3.12,63.91,57.84,69.64,63.75,59.27,67.39,7874,5.78,6101,17.85,22.83,29.73,33.55,0.61,0.78,1.01,1.14,93.1,0.79,4.67,3.38,2.61,2.66,2.54,54.98,4.53,45.69,3,5044,92.89,53.87,2.78,30.19,1965,8.14,0.44,42800,58900,83400,40600,170,275,371,201,358,25.5,19.8,12.2,258,18,3.4,51.83,45.66,73.83,79.19,800,1.49,8.13,72780.2,32,16.81,49,25.75,451,236.96,631,331.53,2309,1213.17,7752,4072.97,1042,547.48,46,24.17,611.05,5857.78,369,193.88,328,172.33,142646,74947.5,386.6,193.9,86.9,72.09,27.37,0.54,0,27.91,30,9,0,224.1,342,13852114,88.89,5
"1278","Cranstoncity","RI",7,19180,6,76060,2.59,2.42,95.08,1.77,2.01,11.26,24.23,11.85,16.87,76060,100,34528,74.33,0.64,49.37,35.27,6.39,19.61,41896,15922,16165,11458,7652,11421,9115,8496,4715,6.52,8.52,26.03,21.11,5.96,58.19,19.16,24.21,11.88,28.84,8.3,31.6,10.94,9.69,3.02,78.22,75.87,86.2,77.97,55.3,66.56,1114,2.08,5586,4.87,9.38,15.04,22.11,0.36,0.69,1.1,1.62,86.28,1.92,3.3,2.31,2.46,2.71,1.97,73.09,1.04,46.14,3,1167,96.18,66.36,0.94,32.56,1955,1.68,0.37,105800,129700,161000,55200,335,461,562,227,534,27.1,22.4,14.6,84,0,7.34,76.62,63,88.23,93.89,2569.9,2.62,0,81588.3,0,0,9,11.72,36,46.89,83,108.1,616,802.29,1650,2149,339,441.52,16,20.84,166.71,3413.65,140,182.34,117,152.38,9580,12477.2,68.4,182.3,95.79,99.29,0.71,0,0,0.71,0,10,257.5,29.6,85,6264352,83.57,0
"1280","CoralGablescity","FL",NA,NA,6,40091,2.59,3.42,93.05,1.74,41.85,17.11,28.9,18.54,15.59,40091,100,47506,78.77,0.98,56.73,28.72,3.79,13.87,64036,30852,32232,7399,34483,13824,16943,27867,2329,6.47,4.82,10.4,49.12,4.03,59.99,5.7,38.5,2.29,48.86,8.04,39.6,13.13,10.74,2.93,79.7,76.81,88.7,79.57,50.27,60.42,277,1.16,14275,11.31,16.45,21.18,27.36,4.03,5.86,7.54,9.74,51.8,6.93,4.25,2.66,2.33,2.58,1.89,70.47,6.32,50.96,2,1101,93.35,63.61,2.45,28.79,1956,1.25,0.04,153100,223500,350700,197600,404,476,604,200,540,27.2,22.2,13.3,0,0,35.61,21.83,45.18,72.92,77.58,3272.2,3.11,6.02,240950.41,1,2.36,8,18.87,234,552.06,170,401.07,1051,2479.53,3886,9167.91,842,1986.46,7,16.51,974.36,13650.41,133,313.78,116,273.67,40000,94368.6,300.8,313.8,100,80.45,2.26,17.29,0,19.55,8,3,115.8,12.3,74,10213164,87.22,10
"1283","Killeencity","TX",NA,NA,6,63535,2.73,30.08,58.09,5.75,14,17.26,39.65,21.23,3.69,63535,100,22468,89.29,0.33,24.82,10.15,4.39,15.7,24304,9582,10971,8073,9230,6075,6897,7172,9146,14.5,5.11,14.16,14.42,9.52,66.07,6.16,24.53,11.69,21.79,9.6,21.93,13.18,11.39,3.16,76.38,71.52,84.65,77.09,57.54,63.75,1496,3.9,5394,14.53,21.73,32.3,37.95,1.23,1.84,2.74,3.22,81.47,1.62,4.67,3.52,2.72,2.95,2.56,44.96,8.12,54.56,2,3191,87.93,41.46,1.69,28.11,1976,10.13,0.18,46900,58600,70100,23200,243,313,391,148,385,25.4,23.7,12.8,19,6,8.49,30.88,30.01,49.87,58.21,2215.9,0.09,18.42,66310.5,6,7.11,90,106.61,223,264.17,224,265.35,1142,1352.82,2800,3316.91,283,335.24,136,161.11,643.24,5166.08,114,135.05,100,118.46,36161,42836.7,317.2,135,68.61,89.47,1.75,6.14,2.63,10.53,21,6,101.3,28.7,66,5597665,87.72,0
"1287","Hamdentown","CT",9,35650,6,52434,2.54,8.69,88.92,1.78,2.02,12.6,24.4,12.81,17.14,50241,95.82,41814,77.24,0.32,58.35,34.09,3.83,19.63,50228,19383,19802,16134,10384,16426,11480,12176,2199,4.36,6.97,15.22,32.38,3.83,64.65,13.9,33.36,7.76,35.04,6.44,30,8.76,7.71,2.99,82.45,80.38,93.66,84.54,63.33,74.37,485,1.38,3753,8.13,14.73,21.77,27.82,0.58,1.05,1.56,1.99,88.88,0.86,3.24,2.33,2.43,2.63,1.97,75.88,0.96,45.4,3,1097,94.95,70.21,1.37,35.28,1957,0.97,0.31,135700,164000,197100,61400,467,600,702,235,680,29.1,22.4,14.3,28,0,7.16,65.75,60.29,86.18,90.2,1543.8,3.13,6,111041.7,2,3.77,8,15.07,52,97.95,32,60.28,239,450.19,1646,3100.45,231,435.12,1,1.88,177.06,3987.64,100,188.36,88,165.76,40860,76965.1,408.6,188.4,90.92,98,2,0,0,2,6,7,96,34,36,5895093,88,0
"1296","Longviewcity","TX",NA,NA,6,70311,2.58,19.9,76.64,0.59,4.12,14.56,27.09,13.16,11.64,70316,100,25377,76.51,1.01,35.98,26.26,6.11,12.57,30956,12761,14591,6748,8545,10514,5581,5328,11637,16.98,7.78,22.56,18.91,7.22,59.66,20.26,22.19,16.43,23.23,11.63,25.22,15.07,13.45,3.08,71.28,67.62,81.42,72.44,56.48,65.73,1785,3.31,1694,18.89,30.11,42.92,53.42,0.46,0.73,1.03,1.29,94.54,1.09,4.55,3.19,2.52,2.62,2.39,60.31,4.19,48.1,3,3087,89.81,58.12,4.11,46.58,1970,9.08,0.33,38500,56700,77900,39400,216,274,344,128,346,23.8,18,12.8,42,9,2.41,66.9,46.98,75.26,91.62,1297.6,0.13,5.47,90656.2,10,13.4,73,97.8,198,265.26,341,456.84,1317,1764.37,3669,4915.33,539,722.09,22,29.47,833.29,7431.27,128,171.48,105,140.67,85393,114400.4,667.1,171.5,83.67,92.97,7.03,0,0,7.03,7,7,105.7,54.2,60,6766943,82.03,10
"1297","Norfolkcity","VA",710,57000,6,261229,2.92,39.05,56.74,2.61,2.91,18.84,38.6,23.62,9.63,261229,100,23563,78.8,0.41,29.49,24.1,9.33,18.3,26818,11643,14699,7504,10944,8746,8291,9511,43944,19.32,8.78,27.31,16.82,6.1,64.57,10.28,24.12,14.05,23.29,10.78,45.21,15.33,12.87,3.12,62.76,55.53,72.45,58.3,54.88,62.4,15750,9.62,9766,18.72,28.07,36.68,45.89,0.7,1.05,1.37,1.72,92.82,0.73,6.13,4.02,2.55,2.58,2.53,44.52,5.32,57.54,2,9284,90.6,44.02,3.94,30.95,1958,10.51,0.35,60700,74500,97100,36400,276,361,438,162,438,28.5,23.4,13.5,253,29,3.74,45.69,39.31,62.4,71.19,4690.3,5.57,7.65,105828,62,25.42,204,83.66,1428,585.59,1075,440.83,3732,1530.41,13535,5550.38,2173,891.1,135,55.36,1135.5,8027.25,680,278.85,608,249.33,313643,128617.6,461.2,278.9,68.51,88.24,10.59,0.74,0.44,11.76,52,7,67.5,55.7,175,25806888,89.41,5
"1298","Birminghamcity","AL",NA,NA,6,265968,2.52,63.27,35.96,0.56,0.39,13.93,27.56,13.43,13.17,264394,99.45,19193,71.75,0.51,23.14,31.59,10.79,15.72,23892,10127,15353,7188,9539,9602,9403,13763,64572,24.82,10.65,30.7,16.15,9.24,53.83,12.44,28.97,15.72,22.8,13.53,35.68,17.45,15.71,3.16,52.09,44.48,64.74,54.45,67.58,71.55,19512,9.04,3181,28.23,39.8,49.23,55.8,0.34,0.48,0.59,0.67,96.43,0.38,6.35,4.08,2.46,2.59,2.31,56.3,3.97,54.83,2,12254,89.59,53.39,7.24,43.07,1959,6.13,0.59,32800,44500,63600,30800,136,225,307,171,322,26.1,20.4,13.5,549,230,1.2,84.68,57.21,89.24,93.57,1728.9,3.56,3.68,146659.41,121,44.69,297,109.7,1706,630.15,4554,1682.13,6628,2448.21,14926,5513.28,3544,1309.06,215,79.42,2466.68,9349.97,706,260.78,626,231.23,453000,167326.59,641.6,260.8,71.93,64.02,35.69,0,0.28,35.98,26,9,117.3,153.8,331,39704820,88.67,5
"1301","Bridgeporttown","CT",1,8070,6,141686,2.71,26.6,58.54,2.32,26.5,14.06,29.69,14.3,12.13,141686,100,28704,73.85,0.41,32.76,28.61,13.24,16.51,33090,13156,15509,10612,9211,11321,7847,8442,23463,17.07,17.99,38.91,12.28,10.62,57.72,25.38,22.73,20.19,19.03,10.69,41.25,14.3,12.62,3.28,53.59,46.99,57.79,55.71,58.8,65.86,12723,12.01,20731,14.71,24.62,34.53,43.87,2.15,3.6,5.05,6.42,63.86,7.56,8.46,5.58,2.63,2.68,2.59,45.05,6.74,65.45,2,4896,91.44,44.15,13.77,46.18,1948,8.66,0.72,118500,145900,171000,52500,364,496,595,231,594,30.3,26.2,16.9,201,12,14.63,52.63,50.12,86.56,88.23,8545.4,6.39,6.17,152510.5,60,45.09,72,54.11,1560,1172.43,848,637.32,3653,2745.44,3820,2870.95,3586,2695.09,192,144.3,1908.96,8455.77,389,292.36,204,153.32,155006,116495.9,398.5,292.4,88.36,70.18,14.65,15.17,0,29.82,24,14,4.7,16.6,105,20292584,52.44,0
"1314","Kenoshacity","WI",59,39225,6,80352,2.69,6.39,89.78,0.56,5.89,14.34,27.95,13.49,11.95,80375,100,27770,76.04,0.28,45.85,30.2,9.97,20.42,32883,12284,12919,6039,12518,15147,5122,5847,9923,12.73,9.18,26.84,12.18,7.8,59.77,27.65,22.83,18.77,19.77,10.4,31.4,13.36,11.97,3.15,68.34,65.57,76.39,74.75,62.61,70.24,2626,4.12,4030,9.35,14.19,18.51,22.11,0.47,0.71,0.93,1.11,89.51,1.5,5.38,3.79,2.61,2.78,2.32,66.18,3.16,49.94,3,1278,95.9,61.99,2.74,28.48,1954,4.39,0.3,47100,58700,73000,25900,262,338,415,153,400,25.4,19.4,13,61,0,5.01,65.34,53.32,83,87.28,3599.2,1.99,5,104053.1,8,9.32,53,61.77,129,150.34,270,314.66,859,1001.07,3141,3660.5,312,363.6,33,38.46,536.08,5063.63,160,186.46,152,177.14,76544,89203.8,478.4,186.5,93,88.95,1.16,2.33,0.58,4.07,8,6,52.5,22.3,70,8928586,95,5
"1316","SantaBarbaracity","CA",NA,NA,6,85571,2.49,2.24,77.75,2.33,31.46,11.83,28.99,14.97,13.5,85571,100,33667,75.02,1.26,48.54,27.32,6.01,14.9,40912,18934,21781,11372,12656,15436,7652,8412,10588,12.68,10.13,20.9,33.12,4.6,65.45,11.42,27.61,8.46,31.04,11.21,40.82,15.94,13.64,3.04,69.29,63.88,81.66,71.12,62.21,68.78,1962,3.72,19281,22.05,32.7,42.22,51.44,4.97,7.37,9.51,11.59,69.74,9.09,9.23,5.22,2.41,2.5,2.35,43.68,10.61,67.49,2,1878,94.82,42.17,0.53,17.52,1959,2.54,0.81,267500,346900,468300,200800,532,670,897,365,715,31.9,27.9,11.1,314,46,22.53,42.42,41.54,74.17,85.6,4371.2,3.95,3.62,139507.91,5,5.81,44,51.13,159,184.76,463,538.02,938,1089.99,3317,3854.47,226,262.62,18,20.92,779.72,5227.99,138,160.36,116,134.8,111518,129587.7,808.1,160.4,91.67,84.78,2.17,9.42,3.62,15.22,5,9,107.6,19.6,49,12005492,84.06,0
"1322","Augustacity","GA",NA,NA,6,44639,2.37,55.99,43.04,0.61,0.75,13.34,27.23,13.67,16.73,44639,100,15315,61.64,0.27,23.26,36.96,17.75,16.08,20973,10367,16658,5657,7088,7864,8765,15139,14189,33.31,20.83,42.8,17.41,9.64,45.99,13.82,32.35,15.44,23.36,16.46,38.29,19.03,17.91,3.07,38.93,32.08,42.31,40.72,53.82,61.23,4657,12.16,754,24.67,30.5,40.32,44.83,0.42,0.52,0.68,0.76,96.12,0.41,6.57,3.71,2.26,2.32,2.22,43.88,5.37,64.61,2,2769,87.17,42.85,4.91,57.93,1951,12.67,1.06,32200,49000,74900,42700,124,217,317,193,300,29.3,19.9,12.9,89,21,1.69,71.35,50.51,81.19,88.83,2191.6,4,9.56,188663,15,33.82,18,40.58,209,471.17,133,299.83,1259,2838.27,2314,5216.65,533,1201.59,16,36.07,845.39,9292.57,293,660.53,151,340.41,48879,110192.1,166.8,660.5,59.08,83.96,16.04,0,0,16.04,28,9,46.9,20.4,145,8368713,51.54,0
"1325","WestOrangetownship","NJ",13,79800,6,39103,2.64,5.73,87.64,5.58,4.42,10.33,22.36,10.39,16.38,39103,100,49777,78.55,0.72,55.76,31.68,3.47,16.47,59056,25537,26585,21118,12323,16195,15943,12753,1590,4.14,6.64,16.83,37.7,4.03,63.27,12.21,27.47,6.51,38.25,5.23,30.23,8.4,6.95,3.11,84.59,82.47,94.86,81.93,55.1,65.83,330,1.16,6245,12.47,19.66,27,34.88,1.99,3.14,4.31,5.57,80.97,3.45,4.72,3.39,2.59,2.81,2.09,74.83,1.86,37.99,3,435,97.15,68.89,1.38,44.6,1953,0.51,0.19,166400,202800,256900,90500,450,619,755,305,693,27.6,22.7,14.7,25,0,15.97,60.57,65.23,83.34,90.11,3115.4,7.75,4.21,175554,0,0,5,12.6,65,163.78,48,120.94,301,758.42,795,2003.12,450,1133.84,1,2.52,297.32,3897.9,95,239.37,89,224.25,30411,76625.2,320.1,239.4,87.64,100,0,0,0,0,4,8,62.3,12.6,30,6967389,93.68,10
"1328","Brooklinetown","MA",21,9175,6,54718,2.25,3.1,87.43,8.38,2.92,10.45,28.82,13.43,12.82,54718,100,45598,78.05,0.8,61.54,23.21,4.07,10.91,61799,29044,30836,19262,5379,16819,7762,11827,4576,8.61,3.05,6.82,63.68,4.8,65.96,7.53,47.63,3.13,57.05,6.61,43.62,10.02,8.56,2.9,77.06,76.88,91.09,70.28,61.28,71.24,517,1.85,11703,28.28,36.6,43.65,50.68,6.05,7.83,9.34,10.84,77.95,3.08,3.99,2.05,2.17,2.48,1.93,49.39,2.28,62.26,2,996,96.07,43.11,0.6,32.73,1939,0.53,0.12,281100,377800,500001,218901,443,629,963,520,671,24.6,22.6,14.5,16,0,21.39,41.54,49.81,60.48,76.81,7778.6,28.71,2.86,106445.3,1,1.77,8,14.19,72,127.73,187,331.75,372,659.96,1379,2446.47,352,624.48,4,7.1,475.46,3738,140,248.37,120,212.89,46180,81927.4,329.9,248.4,90.53,96.43,3.57,0,0,3.57,4,7,15.8,7,34,6e+06,85.71,0
"1340","Bartowcity","FL",NA,NA,7,14716,2.74,29.48,68.08,0.6,3.41,15.09,26.32,13.42,15.36,0,0,25751,72.83,1.81,31.16,34.29,8.94,20.08,30456,11356,13539,6749,6938,6647,4942,7663,2283,16.42,13.34,33.43,12.03,6.16,53.65,17.3,22.68,17.71,20.84,12.66,28.54,16.12,14.47,3.07,61.62,51.77,62.34,67.42,64.11,73.03,719,5.45,438,9.59,20.55,32.42,38.58,0.29,0.61,0.96,1.15,93.5,1.29,5.17,3.77,2.59,2.55,2.66,66.41,6.68,46.58,3,512,91.28,67.38,2.93,30.27,1962,11.64,0.92,38700,51400,70100,31400,174,263,336,162,346,25.4,16.6,11.5,0,0,2.98,58.32,56.46,86.11,93.04,1653.5,0.49,13.97,2311880.25,1,6.57,13,85.4,51,335.02,166,1090.46,257,1688.23,1056,6936.87,176,1156.15,2,13.14,1517.44,9794.39,358,2351.7,337,2213.76,162748,1069092.75,454.6,2351.7,77.3,90.78,7.54,1.68,0,9.22,50,11,137.9,8.9,429,35193752,94.13,5
"1353","FortWaynecity","IN",NA,NA,7,173072,2.49,16.75,80.45,1.01,2.7,14.06,28.56,13.77,11.72,173072,100,26344,78.89,0.59,40.82,27.69,5.8,15.56,31981,12726,13792,8268,11238,10229,7671,8758,19531,11.53,7.5,22.88,15.74,6.15,64.55,21.42,20.88,18.22,23.1,11.88,32.26,15.27,13.69,3.08,65.08,62.45,73.72,66.81,69.05,76.39,6744,5.04,3829,14.91,20.95,27.37,36.69,0.33,0.46,0.61,0.81,95.04,0.6,5.26,3.35,2.43,2.63,2.13,64.68,2.16,48.96,3,7539,90.23,59.63,5.49,31,1957,7.7,0.22,32600,47800,65400,32800,241,312,389,148,382,24.4,16.2,12,106,14,2.21,67.82,50.81,83.37,89.3,2666.3,2.15,5.54,56827.5,28,15.14,130,70.28,552,298.4,317,171.37,2028,1096.31,10016,5414.49,1786,965.48,143,77.3,555.18,7553.59,307,165.96,299,161.63,72000,38922.1,234.5,166,98.28,78.83,17.59,3.26,0,20.85,17,11,191.5,64.9,124,10512234,97.39,5
"1363","Cantoncity","OH",151,12000,7,84161,2.52,18.21,80.67,0.32,1.06,13.69,26.01,12.77,14.41,84161,100,19807,67.99,0.3,31.57,32.7,14.65,19.92,25177,10133,10800,7349,5108,12273,6752,13853,17864,21.86,10.62,32.97,9.67,11.23,50.3,25.35,21.52,22.17,18.9,13.04,30.78,16.69,15.06,3.08,60.64,56.99,63.43,65.15,52.32,59.38,3743,5.23,1881,7.18,8.83,11.43,14.3,0.16,0.2,0.26,0.32,94.1,0.79,5.45,3.55,2.44,2.56,2.29,60.01,1.56,46.63,3,3075,91.58,57.33,4.03,42.76,1943,7.08,0.41,26900,37700,52700,25800,165,233,295,130,298,26.7,16.9,12.4,38,0,2.24,78.22,57.76,90.77,95.19,4017,2.45,9.09,94608.5,11,13.01,82,96.97,537,635.06,405,478.96,1700,2010.43,3910,4623.99,635,750.95,76,89.88,1224,7475.25,165,195.13,141,166.75,64125,75834.6,388.6,195.1,97.64,82.42,16.36,0.61,0,16.97,15,8,55.1,21,83,8e+06,85.45,0
"1366","Kennercity","LA",NA,NA,7,72033,2.87,18.08,77.42,1.69,10.05,15.36,29.06,13.59,6.06,72033,100,30389,86.1,0.58,33.91,15.48,5.77,9.9,34436,12884,14367,7248,6430,12982,8339,9539,10146,14.25,8.85,22.51,21.33,6.98,66.5,8.62,21.56,9.77,27.16,10.51,29.4,15.02,12.89,3.37,73.47,68.8,81.16,74.97,62.07,67.15,2129,4.13,5546,10.37,14.03,26.11,37.34,0.8,1.08,2.01,2.88,86.81,1.74,6.74,5.02,2.85,3.11,2.49,64.07,5.76,40.31,3,2203,91.92,58.83,10.62,36.5,1975,4.28,0.32,56600,74200,98900,42300,287,347,410,123,449,26.6,22,11.9,0,18,7.7,71.05,54.19,81.47,91.52,4596.3,2.15,5.17,41583.2,8,10.91,42,57.26,249,339.48,584,796.22,1072,1461.55,3491,4759.57,798,1087.98,2,2.73,1203.87,7311.82,116,158.15,103,140.43,56112,76502.1,483.7,158.2,87.76,89.66,10.34,0,0,10.34,6,8,163.8,15.7,112,3050000,88.79,0
